Name,ReviewCount,Brand,ImageURL,Rating
"Nicole by OPI Nail Lacquer, Next Stop the Bikini Zone A59, .5 fl oz",1,opi,static/img/img_1.png,5
"R+Co Aircraft Pomade Mousse, 5.6 Oz",1,,static/img/img_2.png,5
Candle Warmers Etc. Rustic Brown Hurricane Candle Warmer Lantern,10,"candle, warmers, etc",static/img/img_3.png,5
"Recovery Complex Anti-Frizz Shine Serum by Bain de Terre for Unisex, 4.2 oz",4,"bain, de, terre",static/img/img_4.png,5
"ReNew Life CleanseMore, Veggie Caps, 60 ea",15,"renew, life",static/img/img_5.png,5
"Alba Botanica Very Emollient Herbal Healing Body Lotion, 32 oz.",3,"alba, botanica",static/img/img_6.png,5
"Groganics DHT Ice Oil Scalp Moisturizer, 4 oz",1,groganics,static/img/img_7.png,5
Vega Chlorella Dietary Supplement Powder 5.3 oz. Bottle,1,vega,static/img/img_8.png,5
Guerlain L\homme Ideal Eau De Toilette Spray for Men 3.3 oz,1,guerlain,static/img/img_1.png,5
"Alaffia Body Lotion, Vanilla, 32 Oz",2,alaffia,static/img/img_2.png,5
